Date,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,GBTC,BTC,Total
19-Feb-24,-,-,-,-,-,-,-,-,-,-,-,0
20-Feb-24,154.3,71.7,11.1,27.4,0,0,0,5.9,2.2,-137,-,135.6
21-Feb-24,96.5,52.5,0,10.7,1,3,0,0,0,-199.3,-,-35.6
22-Feb-24,125.1,158.9,7.9,6.7,0,0,1.2,2.9,4.4,-55.7,-,251.4
23-Feb-24,167.5,52.5,12,34.5,0,1.5,0,8.7,0,-44.2,-,232.5
26-Feb-24,111.8,243.3,37.2,130.6,4.4,7.9,0,6.2,0.9,-22.4,-,519.9
27-Feb-24,520.2,126,18.4,5.4,2.6,16.6,0,9.7,3.6,-125.6,-,576.9
28-Feb-24,612.1,245.2,9.9,23.8,0,0,0,-3.4,2.2,-216.4,-,673.4
29-Feb-24,603.9,44.8,21.7,9.9,-1.5,5.4,0,7,0,-598.9,-,92.3
1-Mar-24,202.5,49.3,42.3,55.1,0,5.4,0,-1.8,0,-492.4,-,-139.6
4-Mar-24,420.1,404.6,90.9,38.2,-25.7,7.8,3.7,-5.7,-3.2,-368,-,562.7
5-Mar-24,788.3,125.6,3.7,63.7,-14.2,3.6,0,3.5,6.6,-332.5,-,648.3
6-Mar-24,281.7,205.7,28.6,41.3,3,5.8,40.7,0,1.4,-276.2,-,332
7-Mar-24,244.2,473.4,41.4,42.1,0,0,41.8,1.9,2.5,-374.8,-,472.5
8-Mar-24,336.3,130.3,8,1.7,-7.6,8,41.4,7.8,0,-302.9,-,223
11-Mar-24,562.9,215.5,49.8,13,-9.7,0,43.4,118.8,5.8,-494.1,-,505.4
12-Mar-24,849,51.6,24.6,93,-19.7,0,39.6,82.9,3,-79,-,"1,045.00"
13-Mar-24,586.5,281.5,5.6,44.6,0,19.1,4.1,16.5,2.3,-276.5,-,683.7
14-Mar-24,345.4,13.7,0,3.5,0,4,9.4,13.8,0,-257.1,-,132.7
15-Mar-24,139.8,155.6,20.5,0,0,2,1.2,15.8,3.3,-139.4,-,198.8
18-Mar-24,451.5,5.9,17.6,2.7,0,0,4.8,5.7,0,-642.5,-,-154.3
19-Mar-24,75.2,39.6,2.5,0,0,0,0,0,0,-443.5,-,-326.2
20-Mar-24,49.3,12.9,18.6,23.3,-10.2,19,2.9,9.3,0,-386.6,-,-261.5
21-Mar-24,233.4,2.9,12,2,4.2,3.8,4.7,1.8,0,-358.8,-,-94
22-Mar-24,18.9,18.1,16.3,5.4,4.5,29.6,25.5,0,0,-169.9,-,-51.6
25-Mar-24,35.5,261.8,14,0,18.5,20.5,11.2,4,0,-350.1,-,15.4
26-Mar-24,162.2,279.1,16.7,73.6,26.7,26.3,29.9,15.8,0,-212.3,-,418
27-Mar-24,323.8,1.5,0,200.7,4.8,4,5.1,1.9,1.5,-299.8,-,243.5
28-Mar-24,95.1,68.1,67,27.6,3.9,0,6,20,0,-104.9,-,182.8
29-Mar-24,-,-,-,-,-,-,-,-,-,-,-,0
1-Apr-24,165.9,44,1.1,-0.3,4.2,0,0,2,0,-302.6,-,-85.7
2-Apr-24,150.5,44.8,4.3,-87.5,0,0,3.7,5.6,0,-81.9,-,39.5
3-Apr-24,42,116.7,23,0,0,3.8,0,0,3.1,-75.1,-,113.5
4-Apr-24,144,106.6,11.2,12,0,0,3.4,15.5,0,-79.3,-,213.4
